Text,Label,Confidence
"Good morning class, today we are going to learn about nouns.",PRS,0.2620239853858948
"A noun is a word that represents a person, place, thing, or idea.",NEU,0.2573947310447693
Can anyone give me an example of a noun?,PRS,0.2536678314208984
"That's right, 'dog' is a noun because it is a thing.",PRS,0.2526590526103973
Let's write down some nouns in our notebooks.,PRS,0.2561188638210296
"Now, let's talk about verbs. Does anyone know what a verb is?",PRS,0.2516203820705414
"A verb is a word that describes an action, occurrence, or state of being.",NEU,0.2586123645305633
Can someone give me an example of a verb?,PRS,0.2533991634845733
"Great example, 'run' is a verb because it is an action.",PRS,0.2509360611438751
"Now, let's write down some verbs in our notebooks.",PRS,0.2540577054023742
"Next, we are going to learn about adjectives.",PRS,0.2515893876552582
An adjective is a word that describes a noun.,NEU,0.261284202337265
Can someone give me an example of an adjective?,PRS,0.2533233165740967
"Exactly, 'beautiful' is an adjective because it describes a noun.",OTR,0.2530772686004638
Let's write down some adjectives in our notebooks.,NEU,0.251897394657135
"Now we are going to form sentences using nouns, verbs, and adjectives.",PRS,0.2535706460475921
A sentence is a group of words that expresses a complete thought.,NEU,0.2548687756061554
Let's build a sentence together. I'll start with a noun: 'The cat'.,PRS,0.2541625499725342
Can someone add a verb to our sentence?,PRS,0.2557292878627777
"Great, now our sentence is: 'The cat runs'.",PRS,0.25814089179039
Can someone add an adjective to our sentence?,PRS,0.2559932768344879
"Wonderful, our sentence is now: 'The fast cat runs'.",PRS,0.2568641006946563
Let's write down some of our own sentences in our notebooks.,PRS,0.2590354382991791
Now we are going to learn about punctuation.,PRS,0.2595160007476806
Punctuation marks are symbols that help us to organize and structure sentences.,NEU,0.2578314542770386
The period is a punctuation mark used to end a sentence.,PRS,0.2530196905136108
The question mark is used at the end of a question.,PRS,0.2541202902793884
The exclamation mark is used to express excitement or emphasis.,PRS,0.2513993382453918
Can someone give me a sentence with an exclamation mark?,PRS,0.2559839785099029
"Great job, that sentence definitely needed an exclamation mark!",PRS,0.2598823010921478
Let's write down some sentences with different punctuation marks in our notebooks.,PRS,0.2517769336700439
"Next, we are going to learn about pronouns.",PRS,0.2590710818767547
A pronoun is a word that can take the place of a noun.,NEU,0.2545095980167389
Can someone give me an example of a pronoun?,PRS,0.2542621493339538
"That's right, 'he' is a pronoun because it can take the place of a noun.",PRS,0.2536927461624145
Let's write down some pronouns in our notebooks.,PRS,0.2568056881427765
"Now, we are going to practice using pronouns in sentences.",PRS,0.2556136548519134
Let's build a sentence together. I'll start with a noun: 'The girl'.,PRS,0.2543470859527588
Can someone replace the noun with a pronoun?,PRS,0.2537893950939178
"Great, now our sentence is: 'She reads a book'.",PRS,0.2567214965820312
Let's write down some of our own sentences using pronouns in our notebooks.,PRS,0.2554097473621368
"Next, we are going to learn about adverbs.",PRS,0.2546911835670471
"An adverb is a word that describes a verb, an adjective, or another adverb.",NEU,0.2608351707458496
Can someone give me an example of an adverb?,PRS,0.2539209723472595
"Exactly, 'quickly' is an adverb because it describes how an action is done.",NEU,0.251587837934494
Let's write down some adverbs in our notebooks.,NEU,0.2521876096725464
Now we are going to use adverbs in sentences.,PRS,0.2538437247276306
Let's build a sentence together. I'll start with a verb: 'runs'.,PRS,0.2541142702102661
Can someone add an adverb to our sentence?,PRS,0.2550835907459259
"Great, now our sentence is: 'She runs quickly'.",PRS,0.2590517997741699
Let's write down some of our own sentences using adverbs in our notebooks.,NEU,0.2529298663139343
"Well done, everyone! You have learned a lot today.",PRS,0.2553454637527466
Remember to practice using these new words in your writing.,NEU,0.2507087886333465
"For homework, please write a short story using the words we learned today.",REP,0.2566758692264557
"Make sure to include nouns, verbs, adjectives, and adverbs in your story.",NEU,0.2526102066040039
Don't forget to use correct punctuation in your sentences.,NEU,0.2523954510688782
I am looking forward to reading your stories.,REP,0.2943541407585144
"Have a great day, and remember to keep practicing your English!",PRS,0.2629045844078064
"Good morning class, today we are going to learn about different types of sentences.",PRS,0.2560785412788391
The first type of sentence we will learn about is the declarative sentence.,PRS,0.2540194094181061
A declarative sentence makes a statement or expresses an opinion.,NEU,0.2523638010025024
Can anyone give me an example of a declarative sentence?,PRS,0.2548474967479706
That's a perfect example! Declarative sentences end with a period.,PRS,0.2524088621139526
"Next, we have interrogative sentences. These are sentences that ask a question.",REP,0.2527095675468445
Interrogative sentences end with a question mark.,PRS,0.2539204061031341
Can someone give me an example of an interrogative sentence?,PRS,0.2547778487205505
Great job! That is indeed an interrogative sentence.,PRS,0.2518219947814941
"Now, let's move on to imperative sentences. These sentences give a command or make a request.",NEU,0.2519906759262085
"Imperative sentences often end with a period, but they can also end with an exclamation mark if they are urgent.",NEU,0.2551676034927368
Can someone give me an example of an imperative sentence?,PRS,0.2530087232589721
"Excellent! That sentence is giving a command, so it is an imperative sentence.",NEU,0.2512986660003662
"Lastly, we have exclamatory sentences. These sentences express strong emotion.",NEU,0.2513923645019531
Exclamatory sentences end with an exclamation mark.,PRS,0.2540480196475982
Can someone give me an example of an exclamatory sentence?,PRS,0.2540704309940338
"Wonderful! That sentence is showing strong emotion, so it is an exclamatory sentence.",OTR,0.2516169846057892
"Now, let's write down examples of each type of sentence in our notebooks.",NEU,0.2518098950386047
"Next, we are going to learn about prepositions.",PRS,0.2581007182598114
Prepositions are words that show how nouns and pronouns relate to other words in a sentence.,NEU,0.2561866343021393
Can someone give me an example of a preposition?,PRS,0.2539816498756408
"Exactly, 'on' is a preposition because it shows the relationship between two words in a sentence.",PRS,0.2521954476833343
Let's write down some prepositions in our notebooks.,PRS,0.255948930978775
"Now, let's use prepositions to build sentences.",NEU,0.2530305087566376
I'll start with a noun: 'The book'.,PRS,0.2551792860031128
Can someone add a preposition to our sentence?,PRS,0.2561887800693512
"Great, now our sentence is: 'The book on the table'.",PRS,0.2575861811637878
Let's write down some of our own sentences using prepositions in our notebooks.,PRS,0.2535893321037292
"Well done, everyone! You have learned a lot today.",PRS,0.2553454637527466
Remember to practice using these new sentences in your writing.,OTR,0.2508166134357452
"For homework, please write a paragraph using different types of sentences and prepositions.",PRS,0.2525596618652344
"Make sure to use declarative, interrogative, imperative, and exclamatory sentences in your paragraph.",NEU,0.2538993954658508
Don't forget to use prepositions to show relationships between words.,NEU,0.2564418911933899
I am looking forward to reading your paragraphs.,PRS,0.2644377946853637
"Have a great day, and remember to keep practicing your English!",PRS,0.2629045844078064
"Good morning class, today we are going to learn about synonyms, antonyms, and homophones.",PRS,0.2608736753463745
Let's start with synonyms. Synonyms are words that have similar meanings.,NEU,0.2517051994800567
"For example, the words 'happy' and 'joyful' are synonyms.",REP,0.2550514638423919
Can anyone give me another pair of synonyms?,PRS,0.2569060921669006
Great choice! Those words are indeed synonyms.,PRS,0.2526820600032806
"Next, we are going to learn about antonyms.",PRS,0.2583469748497009
Antonyms are words that have opposite meanings.,OTR,0.2525211870670318
"For example, the words 'big' and 'small' are antonyms.",REP,0.2602337598800659
Can someone give me another pair of antonyms?,OTR,0.2544934749603271
Wonderful! Those words are indeed antonyms.,PRS,0.2523362338542938
"Now, let's learn about homophones.",PRS,0.2579321563243866
Homophones are words that sound the same but have different meanings and spellings.,OTR,0.2548864185810089
"For example, the words 'to', 'two', and 'too' are homophones.",REP,0.2524394989013672
Can someone give me another set of homophones?,OTR,0.2569020092487335
Excellent! Those words are indeed homophones.,PRS,0.252959281206131
"Now, let's write down some examples of synonyms, antonyms, and homophones in our notebooks.",PRS,0.2524133324623108
"Next, we are going to use synonyms, antonyms, and homophones in sentences.",PRS,0.2516413927078247
Let's build a sentence using synonyms. I'll start with a word: 'happy'.,PRS,0.2513509392738342
Can someone replace 'happy' with a synonym?,PRS,0.2545333504676819
"Great, now our sentence is: 'She is joyful'.",PRS,0.254951149225235
"Now, let's build a sentence using antonyms. I'll start with a word: 'big'.",PRS,0.2525154650211334
Can someone replace 'big' with an antonym?,PRS,0.2535111904144287
"Great, now our sentence is: 'The small dog barks'.",PRS,0.2570465505123138
"Now, let's build a sentence using homophones. I'll start with a word: 'to'.",PRS,0.25191730260849
Can someone replace 'to' with a homophone?,PRS,0.2530527710914612
"Great, now our sentence is: 'She is going too fast'.",PRS,0.2571777701377868
"Let's write down some of our own sentences using synonyms, antonyms, and homophones in our notebooks.",NEU,0.2525281906127929
"Well done, everyone! You have learned a lot today.",PRS,0.2553454637527466
Remember to practice using these new words in your writing.,NEU,0.2507087886333465
"For homework, please write a short story using synonyms, antonyms, and homophones.",REP,0.2508853077888489
"Make sure to use different synonyms, antonyms, and homophones in your story.",NEU,0.2526778876781463
Don't forget to think carefully about the meanings of the words you choose.,NEU,0.2558842003345489
I am looking forward to reading your stories.,REP,0.2943541407585144
"Have a great day, and remember to keep practicing your English!",PRS,0.2629045844078064
"Alright, let's just get today's lesson over with.",PRS,0.2642724215984344
"We are discussing the medieval period, not that it seems anyone cares.",REP,0.2558042407035827
"Yes, there were knights and castles, all that stuff.",REP,0.2845667004585266
I suppose someone can tell me what a knight was?,PRS,0.2682003378868103
"Well, it's something, at least. Yes, knights were warriors who served lords.",PRS,0.2560623288154602
"Moving on, we have the feudal system. A waste of time if you ask me.",PRS,0.2655830085277557
You would have a king and then nobles and it goes down from there.,PRS,0.2618506848812103
I guess it's time to ask a question... What was the role of a serf?,PRS,0.2608127892017364
"Yes, yes, they worked the land. Not much of a life.",REP,0.263172447681427
"Let's talk about the Crusades, a series of needless wars.",PRS,0.2617208063602447
